Company Name,Address,,,,Phone Number,,Website,Email,Energy Audit ,Weatherization  ,HVAC/Heat Pump,Electrical ,Water Heater ,Appliances ,Certifications 
"F.H. Furr Plumbing, Heating, Air Conditioning & Electrical, Inc.","9040 Mike Garcia Dr Manassas, VA 20109",,VA,20109,+17037534410,703-753-4410,https://www.fhfurr.com/dc-metro-area/,Contact through Website ,No,Yes,Yes,Yes,Yes,Yes,"Mitsubishi Electric Diamond Contractor, BBB Accredited with A rating, North American Technician Excellence (NATE), Daikin Comfort Pro"
Fairland Plumbing & Heating,"4910 Brookeville Road, Brookeville, MD 20833",,MD,20833,+13018692727,301-869-2727,https://www.fairlandplumbing.net/,Contact through Website ,No,No,Yes,No,Yes,No,Residential Financing
Flywheel Development,"1140 3rd St NE 2nd Floor, Washington, DC 20002",,DC,20002,+12027151650,(202) 715-1650,https://www.flywheeldevelopment.com,Contact through Website ,No,No,No,Yes,No,No,Certified Business Enterprise Program
"Frosty's Heating & Cooling, Inc","3013 Colvin St, Alexandria, VA 22314",,VA,22314,+1 703-671-9193,703-671-9193,http://www.frostysinc.com/,Contact through Website ,No,No,Yes,No,Yes,No,"Pro Partner Heating + Cooling, Residential Financing"
Gary P Frank Inc,"8918 Ridge Pl, Bethesda, MD 20817",,MD,20817,+13014935766,301-493-5766,https://www.garypfrank.com,Contact through Website ,Yes,No,Yes,No,Yes,No,"Mitsubishi Electric Diamond Contractor, Factory Authorized Dealer Carrier"
Greenscape Energy,"4600 Minnesota Ave NE, Washington, DC 20019",,DC,20019,+12026216623,(202) 621-6623,https://greenscape.energy,info@greenscape.energy,No,No,Yes,Yes,No,No,Certified Energy Efficiency
GRID Alternatives,"1629 Benning Road NE Suite 300, Washington, DC 20002",,DC,20002,+12026020191,(202) 602-0191,https://gridalternatives.org,infodc@gridalternatives.org,No,No,No,Yes,No,No,
"Harris Mullen Electric, LLC","Baltimore, MD 21214",,MD,21214,,,,,,,,,,,Eaton Certified Electrical Contractor
Hickerson Brothers Electric Service Inc,"Catlett, VA 20119",,VA,20119,,,,,,,,,,,Eaton Certified Electrical Contractor
"Holt Electrical Contractors, Inc","Gaithersburg, MD 20879",,MD,20879,+13013492980,(301) 349-2980​,http://www.holtelectrical.com/,m.holt@holtelectrical.com,No,No,No,Yes,No,No,Eaton Certified Electrical Contractor
Home Energy Medics LLC,"817 22nd St. South Arlington, VA 22202",,VA,22202,+17034475379,(703) 447-5379,http://www.homeenergymedics.com/,vwells@homeenergymedics.com,Yes,Yes,Yes,No,Yes,No,BPI GoldStar Contractor 
Hometrust Remodeling,"8345 Sperry Court Laurel, MD 20723",,MD,20723,+13019576532,(301) 957-6532,http://www.hometrustremodeling.com/,info@hometrustremodeling.com,Yes,Yes,No,No,No,No,"BPI Certified Professional, BPI GoldStar Contractor "
Horizon Services ,"2607 N Rolling Rd. Suite 201, WINDSOR MILL , MD 21244",,MD,21244,+14432499585,443-249-9585,https://www.horizonservices.com,Contact through Website ,No,No,Yes,Yes,Yes,No,Daikin Comfort Pro
Hugee Corporation,"1818 New York Ave NE, Ste 208D Washington DC, 20002",,DC,20002,+12026361041,202-636-1041,https://www.hugeecorporation.com,Contact through Website ,No,No,Yes,No,Yes,No,"BBB Accredited with A+ rating, Daikin Comfort Pro"
James A Wheat & Sons Inc.,"7834 Beechcraft Ave, Gaithersburg, MD 20879",,MD,20879,+13016701944,301-670-1944,https://www.wheatandsons.com/,Contact through Website ,No,No,Yes,No,Yes,No,"Factory Authorized Dealer Carrier, Daikin Comfort Pro"
James Vito Dba Vito Services,"681 Southlawn Ln Rockville, MD 20850",,MD,20850,+13012510211,301-251-0211,,,,,,,,,"Pro Partner Heating + Cooling, Residential Financing"
John G Webster Service Co,"10738 Tucker Street Beltsville, MD 20705",,MD,20705,+12404331300,(240) 433-1300,https://johngwebster.com,info@johngwebster.com,No,No,Yes,No,Yes,No,"Mitsubishi Electric Diamond Contractor, BBB Accredited with A+ rating "
King Mechanical Co Inc,"1718 BELMONT AVE STE J, WINDSOR MILL , MD 21244",,MD,21244,+14102650078,410-265-0078,https://www.kingmechanicalco.com,service.kingmechanicalco@gmail.com,No,No,Yes,No,No,No,Daikin Comfort Pro
"Leonard-Splaine Co., Inc","13300 Occoquan Road, Woodbridge, VA 22191",,VA,22191,+15716772125,571-677-2125,https://www.leonardsplaine.com,Contact through Website ,No,Yes,Yes,Yes,Yes,No,Mitsubishi Electric Diamond Contractor
Linthicum Electrical Services,"Olney, MD 20832",,MD,20832,+13014491600,(301) 449-1600,,linthicumelectric@comcast.net,,,,,,,Eaton Certified Electrical Contractor
"Magnolia Plumbing, Heating & Cooling","600 Gallatin Street NE Washington, DC 20017",,DC,20017,+12028298510,202-829-8510,https://magnoliacompanies.com/,Contact through Website ,No,No,Yes,No,Yes,No,"Pro Partner Heating + Cooling, Residential Financing, Mitsubishi Electric Diamond Contractor, BBB Accredited with A rating, Backflow certified, WARDFlex certified, Air Bound certified, Daikin Comfort Pro"
Magothy Electric Co. Inc.,"Glen Burnie, MD 21060",,MD,21060,,,https://www.magothyelectric.com/,,,,,,,,Eaton Certified Electrical Contractor
Making Air Right Heating & Air Conditioning,"13441 Winterspoon Ln, Germantown, MD 20874",,MD,20874,+13015148368,301-514-8368,https://makingairright.com,Contact through Website ,No,No,Yes,No,No,No,"Mitsubishi Electric Diamond Contractor, BBB Accredited with A+ rating, Expertise.com: Best HVAC Professionals in Gaithersburg 2021"
"Meyer Electrical Services, Inc.","7209 Lenhart Dr, Bethesda, MD 20815",,MD,20815,+13019411400,301-941-1400,http://www.meyerelectrical.com/,walt@meyerelectrical.com,No,No,No,Yes,No,Yes,"Kohler In Power Gold Dealer, Eaton Certified Electriical Contractor"
"Michael & Son Services, Inc.","5740 General Washington Dr Alexandria, VA 22312",,VA,22312,+18009486453,(800) 948-6453,http://www.michaelandson.com/,eric.gainer@michaelandson.com,No,No,Yes,Yes,Yes,Yes,"Factory Authorized Dealer Carrier, Eaton Certified Electriical Contractor"
Mina Hvac,"3403 Windom Rd, Brentwood, MD 20722",,MD,20722,+12403555998,(240) 355-5998,https://minahvacincmd.com,info@minahvacincmd.com,No,No,Yes,No,Yes,No,"Mitsubishi Electric Diamond Contractor, BBB Accredited with A+ rating"
Minor Buckler Electrical Cont.,"Mechanicsville, MD 20659",,MD,20659,+13018843890,301-884-3890,https://bucklerelectric.com/,,,,,,,,Eaton Certified Electrical Contractor
Mister Rogers Electric,"Woodbridge, VA 22192",,VA,22192,+15715064229,571-506-4229,https://misterrogerselectric.com/,,,,,,,,Eaton Certified Electrical Contractor
"Mister Sparky Electric - Glen Burnie, Md","Glen Burnie, MD 21061",,MD,21061,+14432956035, (443) 295-6035,https://www.mistersparky.com/columbia-md/,,,,,,,,Eaton Certified Electrical Contractor
Mister Sparky Of Virginia,"3601 Commerce Dr Ste 101 Halethorpe, MD 21227",,MD,21227,+15716206068, (571) 620-6068,https://www.mistersparky.com/ashburn/,Contact through Website ,No,No,No,Yes,No,No,Eaton Certified Electriical Contractor
Mr. Electric Of Fairfax ,"7350 Lockport Pl, Ste D Lorton, VA, 22079",,VA,22079,+17033494796,(703) 349-4796,https://mrelectric.com/fairfax,Contact through Website ,No,No,No,Yes,No,Yes,Eaton Certified Electrical Contractor
"MVM Home Service, Inc.","5705 Oak Hill Pl Alexandria, VA 22310",,VA,22310,+1 703-919-9113,703-919-9113,https://mvmhomeservicellc.com,mauriciolopez@mvmhomeservice.com,No,No,Yes,No,No,No,"Pro Partner Heating + Cooling, Residential Financing, BBB Accredited with A+ rating "
Nice Splice Electric,"9500 Sidebrook Rd, Apt.102 Owings Mills, MD 21117",,MD,21117,+16673058429,(667) 305-8429,http://nicespliceelectric.com/,nicesplicellc@gmail.com,No,No,No,Yes,No,No,"HomeAdvisor Top Rated, Eaton Certified Electrical Contractor"
One Hour Heating And Air Conditioning Of Northern Va,"21730 Red Rum Drive, Suite 182 Ashburn, VA 20147",,VA,20147,+15716674833,(571) 667-4833,https://www.onehourheatandair.com/northern-virginia/?utm_source=GMB&utm_medium=organic&utm_campaign=gbp_main,Contact through Website ,No,No,Yes,No,Yes,No,Mitsubishi Electric Diamond Contractor
"Ourisman Environmental, LLC","Bethesda, MD 20814",,MD,20814,+13016525299,301-652-5299,http://www.greencardc.com/,greencardc@gmail.com,,,,,,,Eaton Certified Electriical Contractor
Pro Energy Electric LLC,"Baltimore, MD 21206",,MD,21206,+14436064688,(443) 606-4688,https://proenergyelectric.org/,,,,,,,,
Revolution Solar,"641 S St NW, Washington, DC 20001",,DC,20001,+14438655039,(443) 865-5039,https://revolutionsolarenergy.com,Contact through Website ,No,No,No,Yes,No,No,
"Sila Heating, Air Conditioning & Plumbing","7000 Virginia Manor Rd Beltsville, Maryland 20705",,MD,20705,+12403763186,(240) 376-3186,https://dcmdva.sila.com/?utm_source=google&utm_medium=organic,webresponse-md@sila.com,No,No,Yes,No,Yes,No,"Mitsubishi Electric Diamond Contractor, BBB Accredited with A+ rating"
Snell Heating And Air,"22977 Eaglewood Ct, STERLING , VA 20166",,VA,20166,+1-571-701-1177,571-701-1177,https://www.snellheatingandair.com,Contact through Website ,No,No,Yes,Yes,Yes,No,Daikin Comfort Pro
Solar Solution,"4700 14th Street NW, Washington, DC 20011",,DC,20011,+12022491112,(202) 249-1112,https://www.solarsolutiondc.com,sales@solarsolutiondc.com,No,No,No,Yes,No,No,"Certified Business Enterprise, Authorized Contractor by the DOEE, NABCEP Certified in PV Sales"
Southern Pride Service Inc. ,"4463 Printers Court White Plains, MD 20695",,MD,20695,+13019324925,(301) 932-4925,https://www.southernprideservice.com,Contact through Website ,No,No,Yes,No,Yes,No,"Mitsubishi Electric Diamond Contractor, American Standard Customer Care Dealer"
Sustainable You,"1255 Union St NE 7th Floor Office #8, Washington, DC 20002",,DC,20002,+12029027572,(202) 902-7572,https://sustainable-you.org,Contact through Website ,No,No,No,Yes,No,No,"BBB Accredited with A+ rating, Certified Business Enterprise"
Trademasters Service Inc,"7208 Lockport Pl. Lorton, VA 22079 ",,VA,22079,+17036446400,703-644-6400,https://trademasters.com,HELP@TRADEMASTERS.COM,No,No,Yes,Yes,Yes,Yes,"Commonwealth of Virginia V3 Certified Company, National Comfort Institute, Trane Comfort Specialist, Energy Star, North American Technician Excellence (NATE), Daikin Comfort Pro"
Tuckers Ac & Htg LLC,"4650 WEDGEWOOD BLVD STE 102, FREDERICK , MD 21703",,MD,21703,+12409826137,240-982-6137,https://tuckersac.com/?hsLang=en,Contact through Website ,No,No,Yes,No,Yes,No,"Daikin Comfort Pro since 2014, USA Club Membership"
United Air Temp,"11900 Parklawn Dr Ste Rockville, MD 20852",,MD,20852,+16674120292,(667) 412-0292,https://www.unitedairtemp.com/baltimore-md-area/,Contact through Website ,No,No,Yes,Yes,Yes,No,"BBB Accredited with A+ rating, Energy Star, North American Technician Excellence (NATE), 2022 HVACR National Contractor of the Year"
Uprise Electric Company,"1140 3rd St NE, Washington, DC 20002",,DC,20002,+12028703455,(202) 870-3455,https://www.uprisesolar.com,info@uprisesolar.com,No,No,No,Yes,No,No,
Warner Super Service,"7321 Livingston Rd, Oxon Hill, MD 20745",,MD,20745,+13015672001,301-567-2001,https://www.warnersuperservice.com,Contact through Website ,No,No,Yes,No,Yes,No,"Residential Financing, BBB Accredited with A+ rating"
"Warthen Fuel Co., Inc.","4012 BENSON AVE # 12, BALTIMORE , MD 21227",,MD,21227,+14102420990,410-242-0990,https://warthenfuel.com,WarthenFuelCompany@gmail.com,No,No,Yes,No,Yes,No,Daikin Comfort Pro
YB Mechanical LLC,"12512 Parker Ln Clinton, MD 20735",,MD,20735,+18338548933,833-854-8933,https://ybmechanical.com,info@ybmechanical.com,No,No,Yes,No,Yes,No,"Pro Partner Plumbing, BBB Accredited with A rating, Energy Star Certified"
